id,daireKurul,esasNo,kararNo,kararTarihi
1083761300,6. Daire,2024/5428,2024/4646,07.08.2024
1083755200,6. Daire,2024/5428,2024/4646,07.08.2024
1080743800,8. Daire,2024/845,2024/4256,01.08.2024
1085084500,6. Daire,2024/3410,2024/4642,11.07.2024
1085084600,6. Daire,2024/5104,2024/4641,11.07.2024
1075829400,8. Daire,2024/3415,2024/4233,10.07.2024
1076810800,8. Daire,2024/3329,2024/4238,10.07.2024
1077929700,8. Daire,2021/6487,2024/4232,10.07.2024
1080781100,8. Daire,2024/3593,2024/4228,10.07.2024
1080781800,8. Daire,2024/3994,2024/4225,10.07.2024
1080781300,8. Daire,2024/3471,2024/4245,10.07.2024
1080781200,8. Daire,2024/2139,2024/4226,10.07.2024
1080780900,8. Daire,2024/3948,2024/4230,10.07.2024
1080781700,8. Daire,2023/852,2024/4242,10.07.2024
1080781400,8. Daire,2024/3949,2024/4229,10.07.2024
1080743600,8. Daire,2024/617,2024/4240,10.07.2024
1080744600,8. Daire,2024/1891,2024/4234,10.07.2024
1086182900,6. Daire,2024/847,2024/4637,10.07.2024
1088271400,6. Daire,2024/3007,2024/4632,10.07.2024
1088271300,6. Daire,2024/5133,2024/4631,10.07.2024
1086183000,6. Daire,2024/2757,2024/4615,09.07.2024
1082710800,10. Daire,2024/3129,2024/2691,09.07.2024
1082711000,10. Daire,2024/2629,2024/2692,09.07.2024
1084471200,10. Daire,2024/3661,2024/2693,09.07.2024
1088523900,12. Daire,2024/3222,2024/3261,09.07.2024
1088523800,12. Daire,2024/1273,2024/3263,09.07.2024
1082710700,10. Daire,2024/3130,2024/2687,08.07.2024
1082899400,10. Daire,2024/3510,2024/2688,08.07.2024
1077535300,8. Daire,2020/357,2024/4207,05.07.2024
1076703400,8. Daire,2021/79,2024/4175,05.07.2024
1076703700,8. Daire,2024/2806,2024/4206,05.07.2024
1076703600,8. Daire,2019/9047,2024/4205,05.07.2024
1076810300,8. Daire,2024/3667,2024/4182,05.07.2024
1076613000,8. Daire,2023/6091,2024/4224,05.07.2024
